<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,60,20220103,080000,295.9000000,296.1000000,294.3400000,295.1000000,1053730
SBER,60,20220103,090000,295.0900000,296.8000000,294.9000000,296.5500000,1282050
SBER,60,20220103,100000,296.5500000,296.9500000,295.8600000,296.6000000,1164060
SBER,60,20220103,110000,296.5700000,301.2000000,296.4500000,300.2500000,9537250
SBER,60,20220103,120000,300.2000000,303.4300000,299.1100000,301.0500000,9255030
SBER,60,20220103,130000,301.0500000,301.4000000,300.3000000,301.0000000,2936640
SBER,60,20220103,140000,300.9800000,302.3900000,300.3600000,302.2000000,4234560
SBER,60,20220103,150000,302.1400000,302.3400000,300.0500000,301.2700000,3125010
SBER,60,20220103,160000,301.2300000,302.1000000,300.7800000,301.8900000,1762430
SBER,60,20220103,170000,301.8900000,302.4700000,301.5100000,302.1200000,1996600
SBER,60,20220103,180000,302.1500000,303.8800000,301.9000000,302.9200000,5205930
SBER,60,20220103,190000,303.0000000,303.8700000,302.7000000,302.7000000,3374540
SBER,60,20220103,200000,303.0900000,303.3700000,302.6000000,303.0400000,816880
SBER,60,20220103,210000,302.9000000,303.7400000,302.7800000,303.3600000,901640
SBER,60,20220103,220000,303.3600000,303.5000000,303.1200000,303.4500000,517950
SBER,60,20220103,230000,303.5000000,304.9000000,303.2200000,304.7500000,1087840
SBER,60,20220104,000000,304.7500000,305.5000000,304.0100000,305.4700000,1904120
SBER,60,20220104,080000,305.5100000,309.7800000,305.5000000,308.2300000,3885510
SBER,60,20220104,090000,308.3400000,309.7000000,308.1900000,309.1000000,1863700
SBER,60,20220104,100000,309.0700000,310.1000000,308.3500000,308.4400000,3224520
SBER,60,20220104,110000,308.3700000,308.8000000,304.5100000,306.1400000,8396660
SBER,60,20220104,120000,306.1100000,306.9900000,301.6300000,303.0000000,9943750
SBER,60,20220104,130000,303.0900000,305.8500000,302.8200000,305.5900000,4672910
SBER,60,20220104,140000,305.6100000,306.8900000,305.0000000,306.0000000,5315090
SBER,60,20220104,150000,305.9000000,306.3500000,304.8000000,304.8800000,2476810
SBER,60,20220104,160000,304.9200000,305.0000000,302.8800000,304.0300000,3606970
SBER,60,20220104,170000,304.0600000,304.6700000,303.7400000,304.0200000,1706170
SBER,60,20220104,180000,304.0200000,305.7000000,303.2700000,305.3000000,2325710
SBER,60,20220104,190000,305.3000000,305.4300000,304.5200000,305.2200000,1947000
SBER,60,20220104,200000,304.5200000,304.8500000,303.5200000,304.2900000,1470880
SBER,60,20220104,210000,304.3900000,304.9600000,304.1000000,304.5400000,523910
SBER,60,20220104,220000,304.6000000,304.6400000,303.9100000,303.9100000,709020
SBER,60,20220104,230000,303.9100000,304.7600000,303.7000000,304.5500000,562410
SBER,60,20220105,000000,304.5000000,304.9500000,304.0200000,304.2400000,637200
SBER,60,20220105,080000,303.5600000,304.2600000,302.0100000,302.3900000,1466630
SBER,60,20220105,090000,302.5500000,302.9200000,300.7100000,301.9600000,1783210
SBER,60,20220105,100000,301.9500000,302.8800000,301.5000000,302.8000000,995150
SBER,60,20220105,110000,302.7700000,304.1900000,301.8500000,303.5500000,2414530
SBER,60,20220105,120000,303.5900000,304.0500000,301.5000000,302.0700000,3446690
